Cottages on Elm,https://g.page/r/CdvrF3oYCWSiEBM/review,https://www.apartments.com/cottages-on-elm-fayetteville-nc/pm05wvs/#reviewsSection,https://www.apartmentratings.com/nc/fayetteville/the-cottages-on-elm_910484611128303/
Crest at Arden Village,https://g.page/r/CbTG8HZJgNsVEBM/review,https://www.apartments.com/crest-at-arden-village-columbia-tn/tv13e08/#reviewsSection,https://www.apartmentratings.com/TN/Columbia/Crest at Arden Village_9199332346275202418
Crest at Burkitt Ridge,https://g.page/r/CbTG8HZJgNsVEBM/review,https://www.apartments.com/crest-at-arden-village-columbia-tn/tv13e08/#reviewsSection,https://www.apartmentratings.com/TN/Columbia/Crest at Arden Village_9199332346275202418
Crestmont at Thornblade,https://g.page/r/CeW29_39oGWwEBM/review,https://www.apartments.com/crestmont-at-thornblade-greenville-sc/3d85v7d/#reviewsSection,https://www.apartmentratings.com/SC/Greenville/Crestmont At Thornblade _864987074529615
Cricket Club,https://g.page/r/CfCs8CiF2rZkEBM/review,,https://www.apartmentratings.com/FL/Orlando/Cricket Club Apartments_407384701332828
Devonshire Square,https://g.page/r/CTqxbH7AaL_fEBM/review,https://www.apartments.com/devonshire-square-colorado-springs-co/yz2gfns/#reviewsSection,https://www.apartmentratings.com/CO/Colorado Springs/Devonshire Square Apartments_719632470080909
Diamond Lakes,https://g.page/r/CVhr1Y65Up8GEBM/review,https://www.apartments.com/diamond-lakes-lafayette-la/8dbw413/#reviewsSection,https://www.apartmentratings.com/LA/Lafayette/Diamond Lakes Apartments_337984786170506
District at Vinings,https://g.page/r/Ccqt7uibqee9EBM/review,https://www.apartments.com/district-at-vinings-atlanta-ga/66c2xgv/#reviewsSection,https://www.apartmentratings.com/GA/Atlanta/District at Vinings _770432510530339
District West,https://g.page/r/CUwX3le-A66sEBM/review,https://www.apartments.com/district-west-greenville-sc/ft8pkrv/#reviewsSection,https://www.apartmentratings.com/SC/Greenville/District West_9199332346275161324
Enclave at Providence,https://g.page/r/CTTGDt2ChDa7EBM/review,https://www.apartments.com/enclave-at-providence-mount-juliet-tn/cl8jx0g/#reviewsSection,https://www.apartmentratings.com/TN/Mount Juliet/Enclave at Providence_9199332346275203010
Enclave at Rivergate,https://g.page/r/CXJgf6GUsOY_EBM/review,https://www.apartments.com/enclave-at-rivergate-charlotte-nc/7vs95bw/#reviewsSection,https://www.apartmentratings.com/nc/charlotte/the-enclave-at-rivergate_9199332346275145469/#ratingsReviews
Entra West End,https://g.page/r/CQnivRRJmMLzEBM/review,https://www.apartments.com/entra-west-end-atlanta-ga/z3ng1ex/#reviewsSection,https://www.apartmentratings.com/GA/Atlanta/Entra West End_9199332346275190978
Esplanade,https://g.page/r/CbyY1byNLsKSEBM/review,https://www.apartments.com/esplanade-district-apartments-north-little-rock-ar/fpdm2ev/#reviewsSection,https://www.apartmentratings.com/AR/North Little Rock/Esplanade_9199332346275200986
Everly Historic Franklin,https://g.page/r/CQZN9ZMxvFUVEBM/review,https://www.apartments.com/the-everly-at-historic-franklin-franklin-tn/099z842/#reviewsSection,https://www.apartmentratings.com/tn/franklin/the-everly-at-historic-franklin-apartments_615771007037064/#ratingsReviews
Faudree Ranch Apartments,https://g.page/r/CdXUdD-jcdrgEBM/review,https://www.apartments.com/faudree-ranch-odessa-tx/pbg7p8s/#reviewsSection,https://www.apartmentratings.com/TX/Odessa/Faudree Ranch Apartments_9199332346275172865
Flats at 1885,https://g.page/r/Cd-IEP2yf3tFEBM/review,https://www.apartments.com/the-flats-1885-lake-city-ga/pbgyg3s/#reviewsSection,https://www.apartmentratings.com/GA/Lake City/The Flats @1885_770961165430260
Forest Glen,https://g.page/r/CQ11plvsdDCAEBM/review,,https://www.apartmentratings.com/MI/Midland/Forest Glen_9199332346275184849
Foster on the Park,https://g.page/r/CRblz11n6W-zEBM/review,https://www.apartments.com/augusta-commons-marietta-ga/drgskvk/#reviewsSection,https://www.apartmentratings.com/GA/Marietta/Augusta Commons _770565323430067
Fountains of Largo,https://g.page/r/CYkAwWZugc8FEBM/review,https://www.apartments.com/fountains-of-largo-largo-fl/kz58kn8/#reviewsSection,https://www.apartmentratings.com/FL/Largo/Fountains of Largo_9199332346275153974
Galvan at Twinbrook,https://g.page/r/Cehm6FQLozLAEBM/review,https://www.apartments.com/galvan-at-twinbrook-rockville-md/lwy2trf/#reviewsSection,https://www.apartmentratings.com/MD/Rockville/Galvan at Twinbrook_9199332346275159885
Gayoso House at Peabody Place,https://g.page/r/CbakRfBpUD-pEBM/review,https://www.apartments.com/gayoso-house-at-peabody-place-memphis-tn/yk770xs/#reviewsSection,https://www.apartmentratings.com/TN/Memphis/Gayoso House Apartments_901523055538103
Georgia Green,https://g.page/r/CdDs1vNQOnpfEBM/review,https://www.apartments.com/georgia-green-athens-ga/4e16j2j/#reviewsSection,https://www.apartmentratings.com/GA/Athens/Georgia Green_9199332346275160211
Greystone at Columbus Park,https://g.page/r/Cdbc3VASHcfBEBM/review,https://www.apartments.com/greystone-at-columbus-park-columbus-ga/qd8bsxy/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone at Columbus Park_706507650031909
Greystone at Country Club,https://g.page/r/CVyx1aZtEKZhEBM/review,https://www.apartments.com/greystone-at-country-club-columbus-ga/kc67kk8/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone at Country Club_9199332346275146174
Greystone at Creekwood,https://g.page/r/CUzvbelY4nBVEBM/review,https://www.apartments.com/greystone-at-creekwood-leesburg-ga/ppqb76t/#reviewsSection,https://www.apartmentratings.com/GA/Albany/Greystone at Creekwood _229883186231763
Greystone at Inverness,https://g.page/r/Ca1q6heeUX1MEBM/review,https://www.apartments.com/greystone-at-inverness-columbus-ga/t3262v9/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone at Inverness_706571920031909
Greystone at Main Street,https://g.page/r/CQ71Yy-ZFJSaEBM/review,https://www.apartments.com/greystone-at-main-street-columbus-ga/1g0xge7/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone at Main Street_706322810031909
Greystone at Maple Ridge,https://g.page/r/Ce3WBXCa3T5iEBM/review,https://www.apartments.com/greystone-at-maple-ridge-columbus-ga/q3gfpqy/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone at Maple Ridge_9199332346275151582
Greystone at Mulberry Grove,https://g.page/r/CbY2-Yxt9A30EBM/review,https://www.apartments.com/greystone-at-mulberry-grove-fortson-ga/skbkmn6/#reviewsSection,https://www.apartmentratings.com/GA/Fortson/Greystone at Mulberry Grove_9199332346275203014
Greystone at Oakland,https://g.page/r/CU3dlCvYJ4ELEBM/review,https://www.apartments.com/greystone-at-oakland-leesburg-ga/clyhqte/#reviewsSection,https://www.apartmentratings.com/GA/Leesburg/Greystone Oakland_9199332346275178891
Greystone at RiverChase,https://g.page/r/CfR4lu3khf-QEBM/review,https://www.apartments.com/greystone-at-riverchase-phenix-city-al/sg5cmh5/#reviewsSection,https://www.apartmentratings.com/AL/Phenix city/Greystone at Riverchase_9199332346275148583
Greystone Falls,https://g.page/r/CXZ5epdBIsZbEBM/review,https://www.apartments.com/greystone-falls-columbus-ga/2hz0vr9/#reviewsSection,https://www.apartmentratings.com/GA/Columbus/Greystone Falls_706507170131904
